node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
42 43 0 14.8263 10.6879 -12.3406 15.1045 10.8410 -12.6656 0.1058 0.4543 0.0000 0.0000 205.0000 8.5606 1.0000 
43 44 0 15.1045 10.8410 -12.6656 15.3381 10.9632 -12.9767 0.1058 0.4078 0.0000 0.0000 205.0000 8.7325 1.0000 
44 45 0 15.3381 10.9632 -12.9767 15.5780 11.0722 -13.3258 0.1058 0.4374 0.0000 0.0000 205.0000 8.9174 1.0000 
45 46 0 15.5780 11.0722 -13.3258 15.7730 11.1845 -13.6789 0.1058 0.4187 0.0000 0.0000 205.0000 9.0949 1.0000 
46 47 0 15.7730 11.1845 -13.6789 16.0095 11.3330 -14.1073 0.1058 0.5113 0.0000 0.0000 205.0000 9.3122 1.0000 
47 48 0 16.0095 11.3330 -14.1073 16.2741 11.4464 -14.5953 0.1058 0.5666 0.0000 0.0000 205.0000 9.5539 1.0000 
48 49 0 16.2741 11.4464 -14.5953 16.5202 11.5156 -15.0722 0.1058 0.5411 0.0000 0.0000 205.0000 9.7856 1.0000 
49 50 0 16.5202 11.5156 -15.0722 16.7321 11.5739 -15.4888 0.1058 0.4710 0.0000 0.0000 205.0000 9.9878 1.0000 
50 51 0 16.7321 11.5739 -15.4888 16.9505 11.6229 -15.9699 0.1058 0.5306 0.0000 0.0000 205.0000 10.2165 1.0000 
51 52 0 16.9505 11.6229 -15.9699 17.1561 11.6713 -16.4515 0.1058 0.5259 0.0000 0.0000 205.0000 10.4439 1.0000 
52 53 0 17.1561 11.6713 -16.4515 17.2847 11.7212 -16.8582 0.1058 0.4295 0.0000 0.0000 205.0000 10.6302 1.0000 
53 54 0 17.2847 11.7212 -16.8582 17.3781 11.7496 -17.2288 0.1058 0.3833 0.0000 0.0000 205.0000 10.7969 1.0000 
54 55 0 17.3781 11.7496 -17.2288 17.4942 11.7556 -17.7073 0.1058 0.4924 0.0000 0.0000 205.0000 11.0116 1.0000 
55 56 0 17.4942 11.7556 -17.7073 17.5921 11.7805 -18.2636 0.1058 0.5654 0.0000 0.0000 205.0000 11.2591 1.0000 
56 57 0 17.5921 11.7805 -18.2636 17.6877 11.8042 -18.8059 0.1058 0.5512 0.0000 0.0000 205.0000 11.5013 1.0000 
57 58 0 17.6877 11.8042 -18.8059 17.7883 11.8337 -19.3647 0.1058 0.5685 0.0000 0.0000 205.0000 11.7520 1.0000 
58 59 0 17.7883 11.8337 -19.3647 17.8056 11.8262 -19.9000 0.1058 0.5356 0.0000 0.0000 205.0000 11.9891 1.0000 
59 60 0 17.8056 11.8262 -19.9000 17.8026 11.8323 -20.4631 0.1058 0.5632 0.0000 0.0000 205.0000 12.2393 1.0000 
60 61 0 17.8026 11.8323 -20.4631 17.8109 11.8663 -20.9744 0.1058 0.5125 0.0000 0.0000 205.0000 12.4677 1.0000 
61 62 0 17.8109 11.8663 -20.9744 17.8213 11.8803 -21.5730 0.1058 0.5989 0.0000 0.0000 205.0000 12.7358 1.0000 
62 63 0 17.8213 11.8803 -21.5730 17.8280 11.8924 -22.0757 0.1058 0.5029 0.0000 0.0000 205.0000 12.9617 1.0000 
63 64 0 17.8280 11.8924 -22.0757 17.8677 11.9029 -22.5468 0.1058 0.4728 0.0000 0.0000 205.0000 13.1748 1.0000 
64 65 0 17.8677 11.9029 -22.5468 17.8862 11.9022 -22.9713 0.1058 0.4249 0.0000 0.0000 205.0000 13.3669 1.0000 
65 66 0 17.8862 11.9022 -22.9713 17.9034 11.8787 -23.4480 0.1058 0.4776 0.0000 0.0000 205.0000 13.5835 1.0000 
66 67 0 17.9034 11.8787 -23.4480 17.9051 11.8481 -24.0462 0.1058 0.5989 0.0000 0.0000 205.0000 13.8561 1.0000 
67 68 0 17.9051 11.8481 -24.0462 17.9099 11.8367 -24.5549 0.1058 0.5089 0.0000 0.0000 205.0000 14.0886 1.0000 
68 69 0 17.9099 11.8367 -24.5549 17.9147 11.8328 -25.0464 0.1058 0.4916 0.0000 0.0000 205.0000 14.3140 1.0000 
69 70 0 17.9147 11.8328 -25.0464 17.8957 11.8116 -25.4731 0.1058 0.4276 0.0000 0.0000 205.0000 14.5107 1.0000 
70 71 0 17.8957 11.8116 -25.4731 17.8475 11.8084 -25.9513 0.1058 0.4807 0.0000 0.0000 205.0000 14.7325 1.0000 
71 72 0 17.8475 11.8084 -25.9513 17.7881 11.8261 -26.4703 0.1058 0.5227 0.0000 0.0000 205.0000 14.9746 1.0000 
72 73 0 17.7881 11.8261 -26.4703 17.7347 11.8410 -26.9433 0.1058 0.4762 0.0000 0.0000 205.0000 15.1959 1.0000 
73 74 0 17.7347 11.8410 -26.9433 17.6992 11.8600 -27.4833 0.1058 0.5414 0.0000 0.0000 205.0000 15.4484 1.0000 
74 75 0 17.6992 11.8600 -27.4833 17.7250 11.8753 -28.0023 0.1058 0.5199 0.0000 0.0000 205.0000 15.6918 1.0000 
75 76 0 17.7250 11.8753 -28.0023 17.7780 11.8916 -28.4892 0.1058 0.4900 0.0000 0.0000 205.0000 15.9220 1.0000 
76 77 0 17.7780 11.8916 -28.4892 17.8387 11.9174 -29.0181 0.1058 0.5330 0.0000 0.0000 205.0000 16.1733 1.0000 
77 78 0 17.8387 11.9174 -29.0181 17.9049 11.9484 -29.5293 0.1058 0.5164 0.0000 0.0000 205.0000 16.4177 1.0000 
78 79 0 17.9049 11.9484 -29.5293 17.9524 11.9916 -30.0893 0.1058 0.5637 0.0000 0.0000 205.0000 16.6855 1.0000 
79 80 0 17.9524 11.9916 -30.0893 17.9810 12.0290 -30.5614 0.1058 0.4745 0.0000 0.0000 205.0000 16.9118 1.0000 
80 81 0 17.9810 12.0290 -30.5614 17.9520 12.0548 -30.9758 0.1058 0.4162 0.0000 0.0000 205.0000 17.1109 1.0000 
81 82 0 17.9520 12.0548 -30.9758 17.9128 12.0745 -31.4619 0.1058 0.4881 0.0000 0.0000 205.0000 17.3452 1.0000 
82 83 0 17.9128 12.0745 -31.4619 17.8784 12.1131 -31.8781 0.1058 0.4194 0.0000 0.0000 205.0000 17.5472 1.0000 
83 84 0 17.8784 12.1131 -31.8781 17.8450 12.1649 -32.3888 0.1058 0.5144 0.0000 0.0000 205.0000 17.7958 1.0000 
84 85 0 17.8450 12.1649 -32.3888 17.8379 12.1938 -32.7945 0.1058 0.4068 0.0000 0.0000 205.0000 17.9930 1.0000 
85 86 0 17.8379 12.1938 -32.7945 17.8382 12.2187 -33.2987 0.1058 0.5048 0.0000 0.0000 205.0000 18.2386 1.0000 
86 87 0 17.8382 12.2187 -33.2987 17.8434 12.2448 -33.7266 0.1058 0.4288 0.0000 0.0000 205.0000 18.4480 1.0000 
87 88 0 17.8434 12.2448 -33.7266 17.8508 12.2789 -34.2011 0.1058 0.4758 0.0000 0.0000 205.0000 18.6810 1.0000 
88 89 0 17.8508 12.2789 -34.2011 17.8627 12.2732 -34.7556 0.1058 0.5546 0.0000 0.0000 205.0000 18.9537 1.0000 
89 90 0 17.8627 12.2732 -34.7556 17.8640 12.2101 -35.3158 0.1058 0.5638 0.0000 0.0000 205.0000 19.2321 1.0000 
90 91 0 17.8640 12.2101 -35.3158 17.8414 12.1308 -35.7308 0.1058 0.4231 0.0000 0.0000 205.0000 19.4418 1.0000 
91 92 0 17.8414 12.1308 -35.7308 17.7790 12.0943 -36.1896 0.1058 0.4645 0.0000 0.0000 205.0000 19.6728 1.0000 
92 93 0 17.7790 12.0943 -36.1896 17.7482 12.0643 -36.6514 0.1058 0.4638 0.0000 0.0000 205.0000 19.9042 1.0000 
93 94 0 17.7482 12.0643 -36.6514 17.7323 12.0498 -36.8417 0.1058 0.1914 0.0000 0.0000 205.0000 20.0000 1.0000 
94 95 6 0.3149 0.3201 -3.0919 0.5354 -0.2298 -3.8975 0.0449 1.0000 238.0000 23.8000 0.0000 7.9088 2.0000 
95 96 6 0.5354 -0.2298 -3.8975 0.8421 -0.7612 -4.6872 0.0449 1.0000 238.0000 23.8000 0.0000 9.3834 2.0000 
96 97 6 0.8421 -0.7612 -4.6872 0.9944 -1.3125 -5.5013 0.0449 0.9949 238.0000 23.8000 0.0000 11.0869 2.0000 
